w.rooney@maunutd.co.uk,EDI,Edimburgh,ATH,Athens,13052016,323.77
w.rooney@maunutd.co.uk,EDI,Edimburgh,MXP,Milan,10042018,369.17
w.rooney@maunutd.co.uk,MUC,Munich,MAD,Madrid,24052017,328.22
w.rooney@maunutd.co.uk,OTP,Bucharest,WAW,Warsaw,28022018,351.59
w.rooney@maunutd.co.uk,MUC,Munich,OTP,Bucharest,19042017,274.22
w.rooney@maunutd.co.uk,MOW,Moscow,MUC,Munich,06112017,336.69
w.rooney@maunutd.co.uk,ATH,Athens,MUC,Munich,12042016,205.19
w.rooney@maunutd.co.uk,CDG,Paris,OTP,Bucharest,19052017,310.06
w.rooney@maunutd.co.uk,WAW,Warsaw,MAD,Madrid,24102017,269.03
w.rooney@maunutd.co.uk,ATH,Athens,MUC,Munich,03072016,307.99
f.lampard@chelsea.co.uk,MOW,Moscow,MAD,Madrid,16122017,399.87
f.lampard@chelsea.co.uk,OTP,Bucharest,EDI,Edimburgh,30072018,301.5
f.lampard@chelsea.co.uk,CDG,Paris,MAD,Madrid,05092017,309.08
f.lampard@chelsea.co.uk,ATH,Athens,WAW,Warsaw,26122016,288.19
f.lampard@chelsea.co.uk,MOW,Moscow,LGW,London,16032018,323.95
f.lampard@chelsea.co.uk,EDI,Edimburgh,MUC,Munich,16042016,205.36
f.lampard@chelsea.co.uk,ATH,Athens,EDI,Edimburgh,17052016,282.12
f.lampard@chelsea.co.uk,MOW,Moscow,OTP,Bucharest,15072017,313.82
f.lampard@chelsea.co.uk,MXP,Milan,MOW,Moscow,13072016,335.32
f.lampard@chelsea.co.uk,MXP,Milan,WAW,Warsaw,03122016,278.68
s.gerrard@liverpool.co.uk,OTP,Bucharest,EDI,Edimburgh,12102017,388.89
s.gerrard@liverpool.co.uk,CDG,Paris,MXP,Milan,29112017,342.12
s.gerrard@liverpool.co.uk,CDG,Paris,WAW,Warsaw,14122017,219.93
s.gerrard@liverpool.co.uk,MXP,Milan,WAW,Warsaw,19022018,388.65
s.gerrard@liverpool.co.uk,MUC,Munich,CDG,Paris,18112017,308.8
s.gerrard@liverpool.co.uk,MXP,Milan,OTP,Bucharest,15052018,228.0
s.gerrard@liverpool.co.uk,LGW,London,MAD,Madrid,22042017,384.85
